PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=0.069 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=249 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=357 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=417 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=502 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=601 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=720 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=818 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=904 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=1017 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=1110 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=1212 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=1343 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=1410 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=1426 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=1397 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=1344 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=1139 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=968 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=964 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=968 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=949 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=954 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=950 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=1202 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=1150 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=1107 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=1055 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=1010 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=955 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=900 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=845 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=798 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=743 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=712 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=706 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=702 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=707 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=712 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=708 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=713 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=710 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=706 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=713 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=720 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=712 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=709 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=712 ms
